City and Municipality,Total Population,Land Area,Population Density
Caloocan,1661584,55.8,29777
Las Piñas,606293,32.69,18547
Makati,629616,21.57,29189
Malabon,380522,15.71,24222
Mandaluyong,425758,9.29,45830
Manila,1846513,24.98,73920
Marikina,456059,21.52,21192
Muntinlupa,543445,39.75,13672
Navotas,247543,8.94,27689
Parañaque,689992,46.57,14816
Pasay City,440656,13.97,31543
Pasig,803159,48.46,16574
Pateros,65227,10.4,6272
Quezon City,2960048,171.71,17239
San Juan,126347,5.95,21235
Taguig,886722,45.21,19613
Valenzuela,714978,47.02,15206
