Age group,Female,Male,Grand Total
0-4,3021,3394,6415
5-9,5071,5722,10793
10-14,4072,5599,9671
15-19,2494,3420,5914
20-24,1556,1761,3317
25-29,1417,1394,2811
30-34,968,896,1864
35-39,608,594,1202
40-44,434,407,841
45-49,284,255,539
50-54,251,212,463
55-60,252,175,427
>60,425,332,757
Grand Total,20853,24161,45014
