Age group,Female,Male,Grand Total
0-4,2268,2604,4872
5-9,2557,2908,5465
10-14,1744,2369,4113
15-19,1023,1411,2434
20-24,832,915,1747
25-29,732,807,1539
30-34,548,559,1107
35-39,309,319,628
40-44,197,232,429
45-49,158,172,330
50-54,155,113,268
55-60,125,110,235
>60,302,209,511
Grand Total,10950,12728,23678
