Age group,Female,Male,Grand Total
0-4,2282,2648,4930
5-9,3929,4454,8383
10-14,3566,4885,8451
15-19,2013,2819,4832
20-24,1393,1597,2990
25-29,1343,1290,2633
30-34,854,849,1703
35-39,514,513,1027
40-44,318,303,621
45-49,247,190,437
50-54,187,163,350
55-60,171,137,308
>60,317,243,560
Grand Total,17134,20091,37225
