Age group,Female,Male,Grand Total
0-4,3265,3808,7073
5-9,4127,4659,8786
10-14,3629,5163,8792
15-19,2298,3336,5634
20-24,1767,2061,3828
25-29,1571,1675,3246
30-34,989,1048,2037
35-39,635,655,1290
40-44,398,426,824
45-49,261,293,554
50-54,242,215,457
55-60,228,198,426
>60,406,400,806
Grand Total,19816,23937,43753
