Term,Coefficient,Std. Error,z,p-value,Rate Ratio,CI Lower,CI Upper
const,-7.1199556221972715,0.010434087821005114,-682.3745155627229,0.0,0.0008088026432118464,0.0007924302580562447,0.0008255132978781819
Density per 1000,-0.0016811544608459164,0.00012992740921910357,-12.939182509295597,2.7049240058830164e-38,0.9983202578877451,0.9980660649633853,0.9985745155513491
Year_2022,1.4188357750129172,0.010870065104545188,130.52688841943072,0.0,4.132306703940048,4.045199376442682,4.221289757649557
Year_2023,0.7960243771654805,0.011727778549072053,67.87512006938987,0.0,2.2167105818525883,2.1663383664822256,2.268254063965292
Year_2024,1.2398748164011053,0.011053600542185082,112.16931638421649,0.0,3.4551809057079823,3.3811306231074774,3.530852966631909
Year_2025,1.4214932767425121,0.01084222563115563,131.1071476559007,0.0,4.143302920914238,4.056185114808842,4.232291823117518
