LGU,Year,Dengue Cases,Population,Land Area,Population Density,Incidence Rate,Status
Caloocan,2021,1051,1674424.25,55.8,30007.603046594984,62.76784393202619,interpolated
Caloocan,2022,4371,1687264.5,55.8,30237.71505376344,259.0583752577026,interpolated
Caloocan,2023,2334,1700104.75,55.8,30467.8270609319,137.2856584278116,interpolated
Caloocan,2024,3262,1712945.0,55.8,30697.93906810036,190.4322672356672,official
Caloocan,2025,5451,1725785.25,55.8,30928.05107526882,315.85621675698064,extrapolated
Las Piñas,2021,495,608607.0,32.69,18617.528296115022,81.3332741818612,interpolated
Las Piñas,2022,1603,610921.0,32.69,18688.314469256653,262.3907182761765,interpolated
Las Piñas,2023,969,613235.0,32.69,18759.100642398287,158.01446427552244,interpolated
Las Piñas,2024,1506,615549.0,32.69,18829.88681553992,244.6596452922513,official
Las Piñas,2025,2132,617863.0,32.69,18900.672988681556,345.060312723047,extrapolated
Makati,2021,457,549654.5,21.57,25482.35975892443,83.14313809856918,interpolated
Makati,2022,1967,469693.0,21.57,21775.289754288362,418.7841845631083,interpolated
Makati,2023,1136,389731.5,21.57,18068.219749652293,291.4827259279786,interpolated
Makati,2024,1055,309770.0,21.57,14361.149745016226,340.57526551957903,official
Makati,2025,1103,229808.5,21.57,10654.079740380157,479.96484029093784,extrapolated
Malabon,2021,459,382873.75,15.71,24371.339910884784,119.88285955879712,interpolated
Malabon,2022,2520,385225.5,15.71,24521.037555697007,654.1623023397984,interpolated
Malabon,2023,1299,387577.25,15.71,24670.73520050923,335.1589908850429,interpolated
Malabon,2024,1110,389929.0,15.71,24820.43284532145,284.6672086456765,official
Malabon,2025,1349,392280.75,15.71,24970.13049013367,343.88636199966476,extrapolated
Mandaluyong,2021,319,435794.0,9.29,46910.01076426265,73.19972280481144,interpolated
Mandaluyong,2022,952,445830.0,9.29,47990.3121636168,213.53430679855552,interpolated
Mandaluyong,2023,543,455866.0,9.29,49070.61356297094,119.11395015201836,interpolated
Mandaluyong,2024,946,465902.0,9.29,50150.914962325085,203.04699271520622,official
Mandaluyong,2025,901,475938.0,9.29,51231.21636167923,189.31037235942497,extrapolated
Manila,2021,1220,1860532.25,24.98,74480.8746997598,65.57263385249034,interpolated
Manila,2022,3919,1874551.5,24.98,75042.09367493996,209.06334128456862,interpolated
Manila,2023,2712,1888570.75,24.98,75603.31265012009,143.60065674002416,interpolated
Manila,2024,5511,1902590.0,24.98,76164.53162530024,289.6577822862519,official
Manila,2025,8601,1916609.25,24.98,76725.75060048039,448.76126941367943,extrapolated
Marikina,2021,330,459875.0,21.52,21369.656133828998,71.75863006251699,interpolated
Marikina,2022,1305,463691.0,21.52,21546.979553903348,281.4374227664544,interpolated
Marikina,2023,699,467507.0,21.52,21724.302973977694,149.51647782813947,interpolated
Marikina,2024,1450,471323.0,21.52,21901.626394052044,307.6446513325257,official
Marikina,2025,1166,475139.0,21.52,22078.949814126394,245.40187187328343,extrapolated
Muntinlupa,2021,198,545640.0,39.75,13726.792452830188,36.287662194853745,interpolated
Muntinlupa,2022,1268,547835.0,39.75,13782.012578616352,231.45655169896045,interpolated
Muntinlupa,2023,383,550030.0,39.75,13837.232704402515,69.63256549642747,interpolated
Muntinlupa,2024,972,552225.0,39.75,13892.452830188678,176.0152111910906,official
Muntinlupa,2025,980,554420.0,39.75,13947.672955974842,176.76130009739907,extrapolated
Navotas,2021,201,248876.75,8.94,27838.56263982103,80.76286756396489,interpolated
Navotas,2022,950,250210.5,8.94,27987.75167785235,379.6803091796707,interpolated
Navotas,2023,191,251544.25,8.94,28136.94071588367,75.93097437130842,interpolated
Navotas,2024,535,252878.0,8.94,28286.12975391499,211.5644698233931,official
Navotas,2025,590,254211.75,8.94,28435.31879194631,232.08998010516825,extrapolated
Parañaque,2021,594,693305.25,46.57,14887.379214086322,85.67654723514643,interpolated
Parañaque,2022,2281,696618.5,46.57,14958.524801374275,327.43890666125003,interpolated
Parañaque,2023,1151,699931.75,46.57,15029.670388662229,164.44460477753722,interpolated
Parañaque,2024,1697,703245.0,46.57,15100.815975950183,241.30992755014256,official
Parañaque,2025,1611,706558.25,46.57,15171.961563238136,228.00667885485734,extrapolated
Pasay,2021,186,443788.5,13.97,31767.251252684324,41.911856661450216,interpolated
Pasay,2022,746,446921.0,13.97,31991.481746599857,166.91988069479842,interpolated
Pasay,2023,689,450053.5,13.97,32215.71224051539,153.0929100651367,interpolated
Pasay,2024,1133,453186.0,13.97,32439.942734430922,250.00772309824222,official
Pasay,2025,1152,456318.5,13.97,32664.173228346455,252.45524781484863,extrapolated
Pasig,2021,749,815631.75,48.46,16831.03074700784,91.83065764666469,interpolated
Pasig,2022,3257,828104.5,48.46,17088.413124226165,393.30784943204634,interpolated
Pasig,2023,2013,840577.25,48.46,17345.79550144449,239.47828709377993,interpolated
Pasig,2024,3018,853050.0,48.46,17603.177878662813,353.78934411816425,official
Pasig,2025,3644,865522.75,48.46,17860.560255881137,421.01724073688416,extrapolated
Pateros,2021,77,65750.0,10.4,6322.115384615385,117.11026615969583,interpolated
Pateros,2022,412,66273.0,10.4,6372.403846153846,621.6709670604922,interpolated
Pateros,2023,249,66796.0,10.4,6422.692307692308,372.77681298281334,interpolated
Pateros,2024,494,67319.0,10.4,6472.980769230769,733.8195754541808,official
Pateros,2025,236,67842.0,10.4,6523.2692307692305,347.8671029745585,extrapolated
Quezon City,2021,1647,2991103.5,171.71,17419.5067264574,55.06329018704969,interpolated
Quezon City,2022,8214,3022159.0,171.71,17600.366897676315,271.7924503641271,interpolated
Quezon City,2023,4766,3053214.5,171.71,17781.22706889523,156.09777825960148,interpolated
Quezon City,2024,9571,3084270.0,171.71,17962.087240114146,310.3165416776093,official
Quezon City,2025,11071,3115325.5,171.71,18142.94741133306,355.37217539547635,extrapolated
San Juan,2021,133,128338.25,5.95,21569.453781512606,103.63239330441236,interpolated
San Juan,2022,359,130329.5,5.95,21904.11764705882,275.4556719698917,interpolated
San Juan,2023,170,132320.75,5.95,22238.78151260504,128.4756925878972,interpolated
San Juan,2024,441,134312.0,5.95,22573.44537815126,328.33998451366966,official
San Juan,2025,312,136303.25,5.95,22908.10924369748,228.9013651545359,extrapolated
Taguig,2021,1289,992062.75,45.21,21943.43618668436,129.9312971886103,interpolated
Taguig,2022,5125,1097403.5,45.21,24273.468259234684,467.0114502095173,interpolated
Taguig,2023,2682,1202744.25,45.21,26603.500331785002,222.9900496302518,interpolated
Taguig,2024,2737,1308085.0,45.21,28933.532404335325,209.2371673094638,official
Taguig,2025,2920,1413425.75,45.21,31263.564476885644,206.5902648228957,extrapolated
Valenzuela,2021,1088,717526.75,47.02,15260.032964695873,151.6319774837663,interpolated
Valenzuela,2022,4504,720075.5,47.02,15314.238621863036,625.4899659827337,interpolated
Valenzuela,2023,1692,722624.25,47.02,15368.444279030198,234.14658448010846,interpolated
