Year,Female,Male,Total,Female %,Male %,Male per Female
2021,4613,5880,10493,43.96264176117411,56.03735823882589,1.274658573596358
2022,19816,23937,43753,45.2906086439787,54.7093913560213,1.2079632620104965
2023,10950,12728,23678,46.2454599206014,53.754540079398595,1.1623744292237443
2024,17134,20091,37225,46.02820685023506,53.97179314976495,1.1725808334306058
2025,20853,24161,45014,46.32558759497045,53.67441240502955,1.1586342492686903
